SMILES,InChI,Count
c1ccc2oncc2c1,KTZQTRPPVKQPFO-UHFFFAOYSA-N,3107
c1ccc2c(c1)Cc1ccccc1-2,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,3066
O=C1c2ccccc2C(=O)c2ccccc21,RZVHIXYEVGDQDX-UHFFFAOYSA-N,3055
O=C1CCOc2ccccc21,MSTDXOZUKAQDRL-UHFFFAOYSA-N,3039
c1ncsn1,YGTAZGSLCXNBQL-UHFFFAOYSA-N,3030
O=c1cc[nH]cc1,GCNTZFIIOFTKIY-UHFFFAOYSA-N,3025
c1cc2c(s1)CCCC2,CBKDCOKSXCTDAA-UHFFFAOYSA-N,3006
C1=Cc2ccccc2OC1,KYNSBQPICQTCGU-UHFFFAOYSA-N,2926
N=C1C(=O)Nc2ccccc21,DPUCWQUWEJBKPK-UHFFFAOYSA-N,2922
O=C1OCc2ccccc21,WNZQDUSMALZDQF-UHFFFAOYSA-N,2890
O=C1NC=CCN1,QGKGASXQTBQINX-UHFFFAOYSA-N,2848
O=C1C=CC(=O)N1,PEEHTFAAVSWFBL-UHFFFAOYSA-N,2819
C1COCO1,WNXJIVFYUVYPPR-UHFFFAOYSA-N,2814
O=C1CCc2ccccc2N1,TZOYXRMEFDYWDQ-UHFFFAOYSA-N,2799
c1csnn1,UGUHFDPGDQDVGX-UHFFFAOYSA-N,2796
c1cnsc1,ZLTPDFXIESTBQG-UHFFFAOYSA-N,2692
c1cn2cncc2cn1,MIFJMFOVENWQDP-UHFFFAOYSA-N,2662
N=c1[nH]c(=O)[nH]c(=O)[nH]1,YSKUZVBSHIWEFK-UHFFFAOYSA-N,2656
O=C1CSCN1,NOLHRFLIXVQPSZ-UHFFFAOYSA-N,2653
c1ccc2[nH+]cccc2c1,SMWDFEZZVXVKRB-UHFFFAOYSA-O,2625
O=C1NC(=O)c2cccc3cccc1c23,XJHABGPPCLHLLV-UHFFFAOYSA-N,2616
C1CSCN1,OGYGFUAIIOPWQD-UHFFFAOYSA-N,2581
C1CC2CC1CN2,GYLMCBOAXJVARF-UHFFFAOYSA-N,2573
O=c1ccc2cncnc2[nH]1,WDHAAJIGSXNPFO-UHFFFAOYSA-N,2565
